County,Organisation,Scheme,Amount Allocated
Cork,Argideen Rangers GAA Club,2003,"15,000.00"
Cork,Ballincollig Sports Alliance,2003,"100,000.00"
Cork,Ballineen Enniskeane Development Association B.E.D.A.,2003,"12,000.00"
Cork,Ballinlough Pitch & Putt Club,2003,"5,000.00"
Cork,Ballygarvan GAA Club,2003,"45,000.00"
Cork,Ballymartle GAA,2003,"90,000.00"
Cork,Ballymore Community Association Ltd,2003,"50,000.00"
Cork,Ballyvolane Community Association Ltd,2003,"10,000.00"
Cork,Bantry Amateur Boxing Club,2003,"7,000.00"
Cork,Bishopstown GAA Club,2003,"20,000.00"
Cork,Blackrock National Hurling Club,2003,"100,000.00"
Cork,Blackwater Sub Aqua Search & Rescue Club,2003,"15,000.00"
Cork,Brian Dillons Hurling and Football Club,2003,"150,000.00"
Cork,Carbery Rangers GAA Club,2003,"110,000.00"
Cork,Carraig na Bhfear Community Council,2003,"10,000.00"
Cork,Casement Celtic Football Club,2003,"40,000.00"
Cork,Castlehaven GAA Club,2003,"80,000.00"
Cork,Castlemagner GAA Field Development,2003,"40,000.00"
Cork,Castletownbere GAA,2003,"130,000.00"
Cork,Castletownroche G.A.A. Club,2003,"50,000.00"
Cork,Castletownsend Rowing Club,2003,"15,000.00"
Cork,Ceanntar na Cathrach Divisional GAA Board,2003,"30,000.00"
Cork,Charleville Community Council Ltd,2003,"50,000.00"
Cork,Charleville Pitch and Putt Club,2003,"13,000.00"
Cork,Churchtown GAA,2003,"50,000.00"
Cork,Clann na nGael GAA Club,2003,"30,000.00"
Cork,Clonakilty Community Sports Association,2003,"30,000.00"
Cork,Clonakilty GAA Club,2003,"20,000.00"
Cork,Cobh Ramblers Football Club,2003,"150,000.00"
Cork,Cork City Council,2003,"80,000.00"
Cork,Cork City Council,2003,"300,000.00"
Cork,Courtmacsherry Rowing Club Ltd,2003,"30,000.00"
Cork,Cullen Handball Club,2003,"15,000.00"
Cork,Cumann Camogaiochta Iniscartha,2003,"40,000.00"
Cork,Delanys Rovers Football & Hurling Club,2003,"150,000.00"
Cork,Donoughmore Hurling & Football Club,2003,"20,000.00"
Cork,Dromahane Tennis Club,2003,"15,000.00"
Cork,Dromina GAA,2003,"15,000.00"
Cork,Dromtarriffe Parish Hall Association,2003,"23,000.00"
Cork,Fermoy GAA Club,2003,"30,000.00"
Cork,Glen Boxing Club,2003,"20,000.00"
Cork,Goleen & District Community Council,2003,"150,000.00"
Cork,Kanturk GAA Club,2003,"50,000.00"
Cork,Kilworth Sports Complex,2003,"20,000.00"
Cork,Knocknagree GAA,2003,"50,000.00"
Cork,Liscarroll Community Council - Handball Committee,2003,"13,000.00"
Cork,Majestic Pitch and Putt Club,2003,"10,000.00"
Cork,Mallow Tennis Club,2003,"60,000.00"
Cork,Mayfield United AFC,2003,"250,000.00"
Cork,MFA Football Ltd,2003,"52,000.00"
Cork,Monkstown Cork Harbour Rowing Club,2003,"15,000.00"
Cork,Muskerry RFC,2003,"160,000.00"
Cork,Naomh Muire C.L.G. (St. Mary's GAA),2003,"30,000.00"
Cork,Newtownshandrum GAA Club,2003,"25,000.00"
Cork,Riverside Pitch and Putt Club,2003,"20,000.00"
Cork,Rowing Ireland,2003,"1,200,000.00"
Cork,Rylane Boxing Club,2003,"4,000.00"
Cork,Sarsfields Hurling Club,2003,"75,000.00"
Cork,Sport Ionad Reiguinach Chorcai Teo,2003,"100,000.00"
Cork,St Catherine's GAA Club,2003,"75,000.00"
Cork,St Colmans Boxing Club,2003,"5,000.00"
Cork,St James' GAA Club Clonakilty,2003,"100,000.00"
Cork,St Vincents Hurling & Football Club,2003,"100,000.00"
Cork,Sunnyside Amateur Boxing Club,2003,"6,000.00"
Cork,Tadhg Mac Cárthaigh GAA Club,2003,"35,000.00"
Cork,The Glen Resource & Sports Centre,2003,"110,000.00"
Cork,TogherCommunity Association,2003,"120,000.00"
Cork,Youghal GAA Club,2003,"85,000.00"
Cork,Youghal Town Council,2003,"500,000.00"
Donegal,Aileach Youth Club,2003,"25,000.00"
Donegal,Barnesmore Community Development Group Ltd,2003,"30,000.00"
Donegal,Bun an Phobail CLG (Moville GAA Club),2003,"90,000.00"
Donegal,Burt Tennis Club,2003,"20,000.00"
Donegal,Carndonagh Boxing Club,2003,"3,000.00"
Donegal,Carndonagh GAA Club,2003,"100,000.00"
Donegal,Castlefin Celtic,2003,"30,000.00"
Donegal,CLG Gleann Fhinne,2003,"90,000.00"
Donegal,CLG Naomh Mícheál,2003,"75,000.00"
Donegal,Clonmany Shamrocks Sports & Athletic Limited,2003,"30,000.00"
Donegal,Cockhill Celtic YFC,2003,"25,000.00"
Donegal,Culdaff Tennis Club,2003,"17,500.00"
Donegal,Donaghmore GAA/ Setanta Hurling Club,2003,"15,000.00"
Donegal,Drimarone Dev Association,2003,"70,000.00"
Donegal,Four Masters GAA Club,2003,"40,000.00"
Donegal,Inishowen Sub-Aqua Club,2003,"20,000.00"
Donegal,Inver Community Development Co-op/ Eany Celtic,2003,"80,000.00"
Donegal,Naomh Conaill GAA Club,2003,"75,000.00"
Donegal,St Mary GAA club,2003,"30,000.00"
Donegal,St Patricks GAA Club Malin,2003,"80,000.00"
Donegal,St.Johnston Cricket Club,2003,"1,500.00"
Donegal,Swilly Rovers FC,2003,"40,000.00"
Donegal,Tremone Youth and Recreation Ltd,2003,"120,000.00"
Donegal,Twin Towns Boxing Club,2003,"6,000.00"
Dublin,Badminton Union of Ireland Leinster Branch,2003,"60,000.00"
Dublin,Baldoyle Utd. AFC Ltd,2003,"120,000.00"
Dublin,Ballinteer St Johns GAA Club,2003,"100,000.00"
Dublin,Ballymun Kickhams GAA Club,2003,"100,000.00"
Dublin,Beggsboro AFC,2003,"125,000.00"
Dublin,Blackrock Athletic Club,2003,"18,000.00"
Dublin,Bohemian Football Club LTD,2003,"14,140.00"
Dublin,Bracken Boxing Club,2003,"16,000.00"
Dublin,Cabra Panthers Amateur Boxing Club,2003,"4,000.00"
Dublin,Castleknock Lawn Tennis Club,2003,"50,000.00"
Dublin,Cherry Orchard Football Club,2003,"65,000.00"
Dublin,Clairseacha na Sceiri-Skerries Harps,2003,"200,000.00"
Dublin,CLG Na Fianna,2003,"450,000.00"
Dublin,Clontarf Cricket Club,2003,"6,000.00"
Dublin,Clontarf Lawn Tennis Club,2003,"50,000.00"
Dublin,Commercials Hurling Club,2003,"70,000.00"
Dublin,Coolmine Rugby Football Club,2003,"75,000.00"
Dublin,Corduff and Rafferagh Community Association,2003,"400,000.00"
Dublin,Corinthians Boxing Club,2003,"100,000.00"
Dublin,Craobh Chiaráin GAA Club,2003,"150,000.00"
Dublin,Cumann Naomh Maur,2003,"25,000.00"
Dublin,Cycling Ireland,2003,"15,000.00"
Dublin,Cycling Ireland,2003,"155,000.00"
Dublin,Dalkey Scubadivers,2003,"8,000.00"
Dublin,Dalkey United Youth and Sports Club,2003,"25,000.00"
Dublin,Drumcondra Schoolboy FC,2003,"90,000.00"
Dublin,Dublin & Dun Laoghaire ETB,2003,"75,000.00"
Dublin,Dublin & Dun Laoghaire ETB,2003,"110,000.00"
Dublin,Dublin City Council,2003,"25,000.00"
Dublin,Dublin City Council,2003,"40,000.00"
Dublin,Dublin City Council,2003,"45,000.00"
Dublin,Dublin City Council,2003,"100,000.00"
Dublin,Dublin City Council,2003,"150,000.00"
Dublin,Dublin City Council,2003,"150,000.00"
Dublin,Dublin City Council,2003,"250,000.00"
Dublin,Dublin City Council,2003,"350,000.00"
Dublin,Dublin City Council,2003,"2,000,000.00"
Dublin,Dublin/Wicklow Mountain Rescue Team,2003,"28,000.00"
Dublin,Dun Laoghaire-Rathdown CoCo,2003,"40,000.00"
Dublin,Dun Laoghaire-Rathdown CoCo,2003,"120,000.00"
Dublin,Dun Laoghaire-Rathdown CoCo,2003,"150,000.00"
Dublin,Dun Laoghaire-Rathdown CoCo,2003,"300,000.00"
Dublin,Erin's Isle GAA Club,2003,"150,000.00"
Dublin,Fingal County Council,2003,"275,000.00"
Dublin,Fingallians GAA,2003,"150,000.00"
Dublin,Firhouse Carmel F.C.,2003,"130,000.00"
Dublin,Garda Boat Club,2003,"200,000.00"
Dublin,Glenville Pitch & PUtt Club,2003,"30,000.00"
Dublin,GOLDEN COBRA BOXING CLUB,2003,"15,000.00"
Dublin,Howth Tae Kwon Do Club,2003,"1,500.00"
Dublin,Irish Basketball Association,2003,"200,000.00"
Dublin,Irish Handball Council - Croke Park Centre,2003,"30,000.00"
Dublin,Irish Handball Council - Croke Park Centre,2003,"150,000.00"
Dublin,Irish Tae Kwon Mudo Academy,2003,"5,000.00"
Dublin,Irish Underwater Council,2003,"35,000.00"
Dublin,Irish Wheelchair Association-Sport,2003,"100,000.00"
Dublin,Jobstown All Weather Facility Ltd,2003,"80,000.00"
Dublin,Kilbarrack United FC,2003,"150,000.00"
Dublin,Kilnamanagh Family Recreation Centre,2003,"200,000.00"
Dublin,Larkin Sports and leisure Complex,2003,"300,000.00"
Dublin,LARKVIEW BOYS FC,2003,"200,000.00"
Dublin,Leinster Branch IRFU,2003,"500,000.00"
Dublin,Liffey Wanderers Football Club,2003,"2,000.00"
Dublin,Lucan United Fc,2003,"150,000.00"
Dublin,Malahide United FC,2003,"40,000.00"
Dublin,Mellowes BDS FC,2003,"90,000.00"
Dublin,Naomh Barrog GAA Club,2003,"100,000.00"
Dublin,Naomh Fionnbarra GFC,2003,"90,000.00"
Dublin,NEILSTOWN BOXING CLUB,2003,"15,000.00"
Dublin,Neptune Rowing Club,2003,"50,000.00"
Dublin,Oscar Traynor Coaching & Development Centre,2003,"500,000.00"
Dublin,Ozanam House Community Resource Centre,2003,"30,000.00"
Dublin,Phoenix Swimming Club,2003,"4,000.00"
Dublin,Poolbeg Yacht and Boat Club,2003,"150,000.00"
Dublin,Railway Union Sports Club,2003,"150,000.00"
Dublin,Rathcoole Community Council Ltd,2003,"40,000.00"
Dublin,"Round Tower GAA Club, Clondalkin",2003,"200,000.00"
Dublin,Rush Athletic Football Club,2003,"150,000.00"
Dublin,Saint Laurence O'Toole GAA Club,2003,"150,000.00"
Dublin,Shelbourne FC,2003,"104,093.00"
Dublin,Skerries Lawn Tennis Club,2003,"30,000.00"
Dublin,South Dublin County Council,2003,"15,000.00"
Dublin,South Dublin County Council,2003,"18,000.00"
Dublin,South Dublin County Council,2003,"20,000.00"
Dublin,South Dublin County Council,2003,"40,000.00"
Dublin,South Dublin County Council,2003,"40,000.00"
Dublin,South Dublin County Council,2003,"50,000.00"
Dublin,South Dublin County Council,2003,"50,000.00"
Dublin,South Dublin County Council,2003,"50,000.00"
Dublin,South Dublin County Council,2003,"60,000.00"
Dublin,St Brendan's Phoenix Park Hockey Club,2003,"25,000.00"
Dublin,St John BoscoYouth Centre Ltd,2003,"10,000.00"
Dublin,st josephs boys afc limited,2003,"200,000.00"
Dublin,St Marys GFC Saggart,2003,"60,000.00"
Dublin,St Oliver Plunkett Eoghan Ruadh GAA,2003,"300,000.00"
Dublin,St Pauls College,2003,"100,000.00"
Dublin,St Peregrine's GAA Club,2003,"250,000.00"
Dublin,St Vincents GAA,2003,"150,000.00"
Dublin,Swim Ireland Leinster Branch,2003,"25,000.00"
Dublin,Terenure Sports Club,2003,"200,000.00"
Dublin,The Football Association of Ireland,2003,"225,000.00"
Dublin,Thomas Davis GAA,2003,"200,000.00"
Dublin,ULAIFA (AUL Complex),2003,"350,000.00"
Dublin,University College Dublin,2003,"40,000.00"
Dublin,University College Dublin,2003,"700,000.00"
Dublin,Viking Sub aqua club,2003,"5,000.00"
Dublin,Weston Hockey,2003,"200,000.00"
Dublin,Westside Boxing Club,2003,"10,000.00"
Galway,Abbeyknockmoy Hurling CLub,2003,"80,000.00"
Galway,Annaghdown GAA Club,2003,"70,000.00"
Galway,Ardscoil Mhuire,2003,"100,000.00"
Galway,Ballinasloe Town A.F.C.,2003,"90,000.00"
Galway,Ballincurry Leisure Centre Co. Ltd,2003,"50,000.00"
Galway,Ballygar and Districts (Ballygar/Newbridge/Toghergar) Co. Ltd.,2003,"150,000.00"
Galway,Claddagh Association Sports and Social Club,2003,"10,000.00"
Galway,Claddaghduff Hall Co. Ltd.,2003,"50,000.00"
Galway,Clarinbridge GAA,2003,"30,000.00"
Galway,Colemanstown Utd FC,2003,"50,000.00"
Galway,Corinthians Rugby Football Club,2003,"50,000.00"
Galway,Creggs GAA Club,2003,"30,000.00"
Galway,Creggs RFC,2003,"110,000.00"
Galway,Galway City Council,2003,"144,000.00"
Galway,Galway City Council,2003,"160,000.00"
Galway,Galway Hibernians AFC,2003,"175,000.00"
Galway,Galway Sub Aqua Club,2003,"15,000.00"
Galway,Galway United,2003,"500,000.00"
Galway,Headford GAA Club,2003,"40,000.00"
Galway,Killannin Community Centre,2003,"50,000.00"
Galway,Liam Mellows GAA Club,2003,"100,000.00"
Galway,Loughrea Rugby Football Club,2003,"15,000.00"
Galway,Loughrea Tennis Club,2003,"15,000.00"
Galway,Moyne Villa FC,2003,"15,000.00"
Galway,Mullagh GAA Club,2003,"50,000.00"
Galway,Naomh Feichin GAA Club Clifden,2003,"30,000.00"
Galway,New Inn Community Council,2003,"40,000.00"
Galway,Padraig Pearses GAA Club,2003,"15,000.00"
Galway,Pearse Stadium,2003,"150,000.00"
Galway,Salthill Devon Football Club ( Wippell Ltd),2003,"350,000.00"
Galway,Salthill Knocknacarra GAA Club,2003,"100,000.00"
Galway,St Brendans Boys Boxing Club Loughrea,2003,"10,000.00"
Galway,St Michael's Community Cntre,2003,"100,000.00"
Galway,Tribesmen Rowing Club,2003,"20,000.00"
Galway,Tuam All-Star Acrobatics Club,2003,"10,000.00"
Kerry,ACARD Limited,2003,"250,000.00"
Kerry,An Riocht Athletic Club,2003,"750,000.00"
Kerry,Ardfert Community Council Ltd,2003,"80,000.00"
Kerry,Ballyduff GAA Club,2003,"50,000.00"
Kerry,Ballyheigue Castle Golf Club,2003,"50,000.00"
Kerry,Ballyheigue Community Centre,2003,"20,000.00"
Kerry,Ballyheigue GAA,2003,"30,000.00"
Kerry,Ballylongford GAA Club,2003,"50,000.00"
Kerry,Ballymacelligott Handball Club,2003,"6,000.00"
Kerry,Cahersiveen Community Sportsfield Association,2003,"125,000.00"
Kerry,Castleisland Community Centre,2003,"100,000.00"
Kerry,Castleisland Desmonds GAA Club,2003,"60,000.00"
Kerry,Castlemaine Community Services Group Ltd,2003,"20,000.00"
Kerry,Craobh Cumann Emmet,2003,"200,000.00"
Kerry,Derrynane GAA Club,2003,"16,500.00"
Kerry,Dr Crokes GAA,2003,"100,000.00"
Kerry,Duagh Community Resource Centre,2003,"25,000.00"
Kerry,Finuge GAA CLub,2003,"60,000.00"
Kerry,Firies GAA,2003,"70,000.00"
Kerry,Foilmore GAA Club,2003,"66,000.00"
Kerry,Fossa Rowing Club,2003,"10,000.00"
Kerry,Intermediate School Killorglin,2003,"100,000.00"
Kerry,Keel GAA Club,2003,"50,000.00"
Kerry,Kenmare Amateur Boxing Club,2003,"3,000.00"
Kerry,Kenmare Golf Club,2003,"42,000.00"
Kerry,Kerry District League,2003,"125,000.00"
Kerry,Kilgarvan Hurling & Football Club,2003,"21,000.00"
Kerry,Killarney Athletic AFC,2003,"20,000.00"
Kerry,Killarney Legion GAA Club,2003,"100,000.00"
Kerry,Killorglin Rowing Club,2003,"250,000.00"
Kerry,Lenamore Rovers FC,2003,"20,000.00"
Kerry,Listry GAA Club,2003,"41,000.00"
Kerry,Mastergeeha FC,2003,"20,000.00"
Kerry,Portmagee Rowing Club,2003,"42,000.00"
Kerry,Renard GAA,2003,"17,500.00"
Kerry,Scartaglin GAA,2003,"6,000.00"
Kerry,Sive Rowing Club,2003,"42,000.00"
Kerry,Sneem Rowing club,2003,"17,000.00"
Kerry,Sneem Traditional Tae Kwon Do Association,2003,"8,000.00"
Kerry,St Patrick's Hurling Club/St Brendan's College Killarney,2003,"25,000.00"
Kerry,Tarbert GAA,2003,"40,000.00"
Kerry,Tralee Bay Sailing Club,2003,"100,000.00"
Kerry,Tralee Harriers Athletic Club,2003,"50,000.00"
Kerry,Tralee Select Vestry,2003,"100,000.00"
Kerry,Valentia Community Health and Welfare Association Ltd,2003,"50,000.00"
Kerry,Valentia Young Islanders GAA Club,2003,"50,000.00"
Kerry,Waterville Community Centre Ltd,2003,"85,000.00"
Kerry,Waterville GAA Club,2003,"15,000.00"
Kildare,Allenwood Gaelic Football Club,2003,"150,000.00"
Kildare,Athgarvan GAA Club,2003,"40,000.00"
Kildare,Ballyteague GFC,2003,"150,000.00"
Kildare,Carbury GAA Club,2003,"250,000.00"
Kildare,Celbridge Athletic Club,2003,"70,000.00"
Kildare,Cill Dara RFC,2003,"140,000.00"
Kildare,Clane GAA Club,2003,"250,000.00"
Kildare,Dublin Gliding Club,2003,"50,000.00"
Kildare,Eadestown GAA,2003,"100,000.00"
Kildare,Kilcock Canoe Polo Club,2003,"20,000.00"
Kildare,Kilcullen Community Centre Ltd,2003,"40,000.00"
Kildare,Kildare County AFC,2003,"200,000.00"
Kildare,Kildare Town AFC,2003,"30,000.00"
Kildare,Kill GAA Club,2003,"150,000.00"
Kildare,Leinster Cycling Federation,2003,"7,000.00"
Kildare,Leixlip United AFC,2003,"130,000.00"
Kildare,Naas Golf Club,2003,"300,000.00"
Kildare,Nurney GAA,2003,"100,000.00"
Kildare,Prosperous Community Association and Tennis Club,2003,"15,000.00"
Kildare,Raheens GAA,2003,"150,000.00"
Kildare,Rathcoffey GAA,2003,"350,000.00"
Kildare,Sarsfields GAA,2003,"350,000.00"
Kildare,St Brigid's CYMS Kildare,2003,"20,000.00"
Kildare,St Laurences GAA St Laurences GAA,2003,"300,000.00"
Kildare,St Mary's Athletic Club (Juvenile),2003,"4,000.00"
Kilkenny,Bridge United F.C,2003,"190,000.00"
Kilkenny,Callan Boxing Club,2003,"3,000.00"
Kilkenny,Carrickshock GAA Club,2003,"40,000.00"
Kilkenny,Castlecomer Golf Club,2003,"150,000.00"
Kilkenny,Erin's Own GAA Club,2003,"55,000.00"
Kilkenny,Graignamanagh GAA Club,2003,"35,000.00"
Kilkenny,Graigue-Ballycallan Gaa Club,2003,"70,000.00"
Kilkenny,Graiguenamanagh Boat Club,2003,"20,000.00"
Kilkenny,Johnstown Community Concern,2003,"20,000.00"
Kilkenny,Kilkenny GAA County Board,2003,"100,000.00"
Kilkenny,Kilkenny Sub-Aqua Club,2003,"3,000.00"
Kilkenny,Kilmoganny Area Development Association,2003,"30,000.00"
Kilkenny,Lacken pitch and putt club,2003,"10,000.00"
Kilkenny,Moneenroe Boxing Club,2003,"1,000.00"
Kilkenny,Mullinavat GAA Club,2003,"100,000.00"
Kilkenny,Paulstown Boxing Club,2003,"1,500.00"
Kilkenny,Pilltown FC PLC,2003,"20,000.00"
Kilkenny,Piltown Gaa club,2003,"12,000.00"
Kilkenny,Shamrocks GAA Club,2003,"17,000.00"
Kilkenny,SPA United F.C.,2003,"25,000.00"
Kilkenny,Tullaroan GAA,2003,"40,000.00"
Laois,Arlington AFC,2003,"4,000.00"
Laois,Ballacolla Community Hall,2003,"9,000.00"
Laois,Ballyfin Athletic Club,2003,"1,000.00"
Laois,Ballypickas GAA Club,2003,"20,000.00"
Laois,Clonad GAA Club,2003,"20,000.00"
Laois,Clonaslee Community Development Association Ltd,2003,"4,000.00"
Laois,Clover United AFC,2003,"70,000.00"
Laois,Community Hall Vicarstown Ltd,2003,"10,000.00"
Laois,Kilcavan Gaa,2003,"10,000.00"
Laois,Laois Riding for Disabled Association,2003,"3,000.00"
Laois,Lions AFC,2003,"30,000.00"
Laois,Mountmellick Macra na Feirme Sports Club,2003,"50,000.00"
Laois,Park/Ratheniska GAA Club,2003,"25,000.00"
Laois,Portarlington Lawn Tennis Club,2003,"100,000.00"
Laois,Portlaoise Amateur Boxing Club,2003,"4,000.00"
Laois,Portlaoise Soccer Club,2003,"60,000.00"
Laois,Timahoe GAA Club,2003,"15,000.00"
Laois,Trumera Commmunity Centre,2003,"15,000.00"
Leitrim,Aughavas GAA Club,2003,"35,000.00"
Leitrim,Aughawillan GAA Club,2003,"35,000.00"
Leitrim,Aughnasheelin Park Committee,2003,"20,000.00"
Leitrim,Drumshanbo Community Centre Development Co Ltd,2003,"34,000.00"
Leitrim,Fenagh Handball Club,2003,"50,000.00"
Leitrim,Glencarmanorhamilton Gaa Club,2003,"25,000.00"
Leitrim,Mohill Community Sports and Recreation Centre,2003,"80,000.00"
Leitrim,mohill gaa,2003,"100,000.00"
Limerick,AAI County Limerick Board,2003,"50,000.00"
Limerick,Abbey Boxing Club Kilmallock,2003,"3,000.00"
Limerick,Abbeyfeale United FC,2003,"105,000.00"
Limerick,Askeaton AFC,2003,"100,000.00"
Limerick,Ballingarry GAA Club,2003,"19,000.00"
Limerick,Ballybrown Youth Field Development,2003,"40,000.00"
Limerick,Ballylanders Soccer Club,2003,"40,000.00"
Limerick,Bruff GAA Club,2003,"150,000.00"
Limerick,Caherconlish Tennis Club,2003,"50,000.00"
Limerick,Caherconlish/Caherline Community Council LTD,2003,"15,000.00"
Limerick,Cappamore GAA Club,2003,"50,000.00"
Limerick,Fr Casey's GAA Club,2003,"9,000.00"
Limerick,Galbally RFC,2003,"50,000.00"
Limerick,Granagh United FC,2003,"25,000.00"
Limerick,Hospital Crusaders AFC,2003,"8,000.00"
Limerick,Hospital Lawn Tennis Club,2003,"12,500.00"
Limerick,Hyde Rangers AFC,2003,"20,000.00"
Limerick,"Kilmallock GAA Club, C.L.G. Cill Mocheallog.",2003,"70,000.00"
Limerick,Knockaderry GAA,2003,"35,000.00"
Limerick,Limerick City & County Council,2003,"300,000.00"
Limerick,Limerick GAA,2003,"1,000,000.00"
Limerick,Monaleen GAA Club (ncluding Monaleen GAA Tennis Club),2003,"90,000.00"
Limerick,Mungret Football Club,2003,"16,000.00"
Limerick,Na Piarsaigh Hurling & Football Club,2003,"50,000.00"
Limerick,Old Christians GAA Club,2003,"50,000.00"
Limerick,Presentation RFC,2003,"50,000.00"
Limerick,Southside Boxing Academy,2003,"3,000.00"
Limerick,St Flannans Diocesan Trust,2003,"30,000.00"
Limerick,St Michael's Sporting Club,2003,"35,000.00"
Longford,Clonguish GFC,2003,"100,000.00"
Longford,Colmcille GAA Club,2003,"55,000.00"
Longford,County Longford Schools Soccer Ltd,2003,"15,000.00"
Longford,Dromard GAA club,2003,"70,000.00"
Longford,Emmet óg GFC,2003,"100,000.00"
Longford,Rathcline GAA,2003,"170,000.00"
Longford,Shroid Slashers GAA Club,2003,"7,000.00"
Louth,Ardee Celtic FC,2003,"55,000.00"
Louth,Bellurgan United Football Club,2003,"80,000.00"
Louth,Carlingford Sailing Club,2003,"88,000.00"
Louth,Cooley Kickhams GAA,2003,"100,000.00"
Louth,Drogheda Amateur Boxing club,2003,"6,000.00"
Louth,Drogheda Sub Aqua Club,2003,"18,000.00"
Louth,Dundalk Sub Aqua,2003,"5,000.00"
Louth,Dundalk Young Irelands GFC,2003,"60,000.00"
Louth,Geraldines GFC,2003,"150,000.00"
Louth,Glen Emmets GFC,2003,"30,000.00"
Louth,Golden Dragon Wado-Kai Karate Club,2003,"1,500.00"
Louth,IONAD NA NDAOINE AN TSHLANAITHEORA TEO,2003,"30,000.00"
Louth,Louth County Council,2003,"35,000.00"
Louth,Louth County Council,2003,"250,000.00"
Louth,Mattock Rangers CLG,2003,"80,000.00"
Louth,Quay Celtic,2003,"25,000.00"
Louth,Ravensdale Sports Club Limited,2003,"25,000.00"
Louth,Sean Mc Dermotts GFC,2003,"35,000.00"
Louth,Silverbridge Kayak Club,2003,"10,000.00"
Louth,St Brides GFC,2003,"50,000.00"
Louth,St Nicholas GFC,2003,"65,000.00"
Louth,St Patrick's G.F.C Rampark,2003,"70,000.00"
Louth,St Paul's Table Tennis Club Drogheda,2003,"1,000.00"
Mayo,Aghamore GAA Club,2003,"80,000.00"
Mayo,Ballinrobe Rugby Football Club,2003,"60,000.00"
Mayo,Ballyhaunis RFC,2003,"40,000.00"
Mayo,Ballyheane Football Club,2003,"45,000.00"
Mayo,Castlebar Celtic FC,2003,"60,000.00"
Mayo,Castlebar United Football Club,2003,"15,000.00"
Mayo,Claremorris AFC,2003,"40,000.00"
Mayo,Cloonfad United F.C,2003,"100,000.00"
Mayo,Conn Rangers Ltd.,2003,"60,000.00"
Mayo,Crossmolina AFC,2003,"35,000.00"
Mayo,Kilfian GAA,2003,"50,000.00"
Mayo,Killala Community Council (Newstart) Company Limited By Gaurantee,2003,"15,000.00"
Mayo,Kiltimagh Knock Utd Soccer Club Ltd.,2003,"100,000.00"
Mayo,MAYO LEAGUE COMMUNITY STADIUM LIMITED,2003,"300,000.00"
Mayo,Mayo Sailing Club,2003,"150,000.00"
Mayo,Neale GAA Club,2003,"40,000.00"
Mayo,Shrule Community Sportsfield Trustees and Shrule/Glencorrib GAA club,2003,"30,000.00"
Mayo,Snugboro United Football Club Ltd,2003,"100,000.00"
Mayo,Swinford Soccer Club,2003,"60,000.00"
Mayo,Tooreen Hurling Club,2003,"80,000.00"
Mayo,Urlaur Sports Centre,2003,"8,000.00"
Meath,Castle Villa AFC,2003,"100,000.00"
Meath,Cortown GFC,2003,"30,000.00"
Meath,Duleek AFC,2003,"20,000.00"
Meath,DUNBOYNE AFC,2003,"50,000.00"
Meath,Dunboyne Community Centre/St. Peters College,2003,"50,000.00"
Meath,Dunboyne Tennis Club,2003,"25,000.00"
Meath,Dunshaughlin Community Centre Ltd,2003,"5,000.00"
Meath,Irish Clay Pigeon Shooting Association,2003,"50,000.00"
Meath,Kilmainhamwood GAA Club,2003,"100,000.00"
Meath,Meath and District League,2003,"200,000.00"
Meath,Meath Hill GFC,2003,"70,000.00"
Meath,Navan Pitch and Putt Club,2003,"100,000.00"
Meath,Oldcastle GFC,2003,"75,000.00"
Meath,RATHMOLYON HURLING CUB,2003,"120,000.00"
Meath,Ratoath GAA Club,2003,"100,000.00"
Meath,Ratoath Harps AFC Ltd,2003,"50,000.00"
Meath,Simonstown Gaels GFC,2003,"150,000.00"
Meath,SLANE GAA CLUB,2003,"15,000.00"
Meath,St Peter's GAA Club,2003,"250,000.00"
Meath,Trim Area Recreation and Social Needs Company,2003,"1,000,000.00"
Monaghan,Ballybay Pearse Brothers GFC,2003,"60,000.00"
Monaghan,Blackhill GFC,2003,"40,000.00"
Monaghan,Clontibret O'Neills GFC,2003,"20,000.00"
Monaghan,Corduff Gaels Gaelic Football Club,2003,"40,000.00"
Monaghan,Emyvale GAA Club,2003,"60,000.00"
Monaghan,Latton O'Rahilly GAA Club,2003,"60,000.00"
Monaghan,Monaghan Harps GFC,2003,"70,000.00"
Monaghan,Monaghan Rugby Club,2003,"50,000.00"
Monaghan,Monaghan United Football Club,2003,"200,000.00"
Monaghan,St Marys Park Development - Castleblayney Faughs,2003,"65,000.00"
Offaly,Banagher Sub Aqua Club,2003,"40,000.00"
Offaly,Birr Town Football Club,2003,"50,000.00"
Offaly,Clara GAA club,2003,"40,000.00"
Offaly,Clara Handball Club,2003,"60,000.00"
Offaly,CLARA TOWN AFC,2003,"40,000.00"
Offaly,Coolderry GAA,2003,"60,000.00"
Offaly,Crinkle GAA Club,2003,"6,000.00"
Offaly,Crinkle Sports and Recreation Centre,2003,"30,000.00"
Offaly,Durrow GAA,2003,"30,000.00"
Offaly,Kinnitty GAA Club,2003,"25,000.00"
Offaly,Offaly GAA,2003,"300,000.00"
Offaly,Seir Kieran GAA Club,2003,"50,000.00"
Offaly,Shannonbridge GAA Club,2003,"25,000.00"
Offaly,St Brendan's Sportsplex,2003,"120,000.00"
Offaly,St Rynaghs Football Club,2003,"20,000.00"
Offaly,St Rynagh's Hurling Club,2003,"75,000.00"
Offaly,Tullamore Pitch and Putt Club,2003,"3,000.00"
